Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
0,0,50,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-06-11T16:43:26,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-06-11T16:49:35,43.65668,-79.48285,Improperly Discarded,Semi-Detached Dwelling,2011-06-11T16:37:57,2011-06-11T16:42:15
0,0,0,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-06-13T21:04:44,Undetermined,2011-06-13T21:15:03,43.69691,-79.49989,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2011-06-13T20:49:48,2011-06-13T20:55:40
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-06-14T16:25:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-06-14T16:39:08,43.70673,-79.39837,Improperly Discarded,Subway Station,2011-06-14T16:18:58,2011-06-14T16:23:50
0,0,0,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-06-16T11:08:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-06-16T11:42:44,43.66997,-79.38802,Undetermined,Multi-Unit Dwelling - Over 12 Units,2011-06-16T10:53:50,2011-06-16T10:58:06
0,0,0,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-09-06T00:48:13,Other,2016-09-06T01:35:40,43.74318,-79.21891,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2016-09-06T00:28:43,2016-09-06T00:34:11
0,0,15000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2016-06-08T19:29:41,"Terminations-Copper (incl receptacles, switches, lights)",2016-06-08T20:55:52,43.70922,-79.43826,Electrical Failure,Detached Dwelling,2016-06-08T19:23:10,2016-06-08T19:28:50
0,0,20000,3,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-12T18:12:19,Open Fired Barbeque - Fixed or Portable,2014-04-12T18:43:17,43.64469,-79.40579,"Other unintentional cause, not classified",Detached Dwelling,2014-04-12T18:04:52,2014-04-12T18:08:49
0,0,100,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-04-22T11:41:00,Other Mechanical,2013-04-22T12:30:00,43.68544,-79.31801,"Other unintentional cause, not classified",Detached Garage,2013-04-22T11:34:20,2013-04-22T11:38:02
0,0,4000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2017-01-14T11:19:43,Florescent Lamp (includes ballast),2017-01-14T11:52:20,43.68394,-79.39238,Design/Construction/Installation/Maintenance Deficiency,Multi-Unit Dwelling - Over 12 Units,2017-01-14T11:13:34,2017-01-14T11:17:43
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2015-08-09T20:07:45,Undetermined,2015-08-09T21:05:59,43.67748,-79.50641,Undetermined,Multi-Unit Dwelling - Over 12 Units,2015-08-09T19:54:58,2015-08-09T20:00:27
0,0,60000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Undetermined,2017-01-14T21:25:27,Undetermined,2017-01-14T23:22:01,43.7477,-79.55351,Undetermined,"Apartment, Flat, Tenement with Business",2017-01-14T21:12:35,2017-01-14T21:17:09
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2015-01-17T10:42:33,Other Electrical Distribution Item,2015-01-17T11:03:47,43.68125,-79.33765,"Other unintentional cause, not classified",Subway Station,2015-01-17T10:39:26,2015-01-17T10:42:33
0,0,20000,3,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2017-07-15T10:04:17,"Stove, Range-top burner",2017-07-15T10:55:48,43.70546,-79.49187,Unattended,Rooming/Boarding/Lodging House,2017-07-15T09:54:37,2017-07-15T09:58:26
0,0,3000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-01-25T12:02:42,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-01-25T13:11:29,43.64103,-79.43452,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2016-01-25T11:52:49,2016-01-25T11:56:36
0,0,300,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2011-06-17T19:16:32,Open Fired Barbeque - Fixed or Portable,2011-06-17T19:21:05,43.80939,-79.17137,Design/Construction/Installation/Maintenance Deficiency,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2011-06-17T19:10:34,2011-06-17T19:16:32
0,0,1,0,Undetermined,Fire alarm system operated,Fire alarm system present,2011-06-18T13:46:00,Undetermined,2011-06-18T14:05:26,43.68047,-79.4709,Undetermined,Multi-Unit Dwelling - Over 12 Units,2011-06-18T13:29:30,2011-06-18T13:34:22
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2011-06-19T11:20:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-06-19T11:26:31,43.59933,-79.51185,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2011-06-19T11:14:22,2011-06-19T11:17:41
0,0,10000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-01-26T02:09:46,Other,2016-01-26T02:39:21,43.78201,-79.26252,Improperly Discarded,Semi-Detached Dwelling,2016-01-26T01:55:14,2016-01-26T02:02:33
0,0,100000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-15T04:50:16,"Terminations-Copper (incl receptacles, switches, lights)",2014-04-15T07:48:41,43.65754,-79.46525,Electrical Failure,Detached Garage,2014-04-15T04:18:22,2014-04-15T04:23:03
0,0,15000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-05-27T11:51:47,Other Mechanical,2017-05-27T12:40:02,43.75963,-79.47819,Mechanical Failure,Motor Vehicle Repair Garage,2017-05-27T11:40:10,2017-05-27T11:45:10
0,0,10000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2015-01-19T06:04:10,Rekindle,2015-01-19T10:36:05,43.74949,-79.53279,Rekindle,"Mfg: Other Wood, Furniture, Paper Products, Printing",2015-01-19T05:39:56,2015-01-19T05:46:15
0,0,2000,0,Undetermined,Fire alarm system did not operate,Fire alarm system present,2011-06-25T09:00:58,"Incandescent Lamp - Light Bulb, Spotlight",2011-06-25T09:26:40,43.68416,-79.41339,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,2011-06-25T08:54:56,2011-06-25T09:00:57
0,0,300,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2011-06-29T09:03:21,Range Hood,2011-06-29T09:23:17,43.80703,-79.1807,Mechanical Failure,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2011-06-29T08:56:56,2011-06-29T09:00:53
0,0,500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-07-02T22:10:00,Circuit Wiring - Copper,2011-07-02T22:47:29,43.72405,-79.28245,Design/Construction/Installation/Maintenance Deficiency,Other Vehicle Sales/Service,2011-07-02T22:04:30,2011-07-02T22:08:43
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Fire alarm system present,2011-07-03T18:55:00,"Stove, Range-top burner",2011-07-03T19:12:20,43.75679,-79.31912,Improper handling of ignition source or ignited material,Detached Dwelling,2011-07-03T18:41:51,2011-07-03T18:49:25
0,0,300,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2011-07-04T17:31:23,Open Fired Barbeque - Fixed or Portable,2011-07-04T17:41:26,43.75627,-79.21532,Design/Construction/Installation/Maintenance Deficiency,Detached Dwelling,2011-07-04T17:22:32,2011-07-04T17:28:23
0,0,200,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-03-17T20:00:00,Undetermined,2014-03-17T20:17:57,43.70242,-79.44031,Undetermined,Multi-Unit Dwelling - Over 12 Units,2014-03-17T19:52:24,2014-03-17T19:56:36
0,0,8000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2015-01-19T12:38:46,Range Hood,2015-01-19T13:27:50,43.66727,-79.36919,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached/Semi/Attached with Accessory Apartment Above Grade,2015-01-19T12:04:34,2015-01-19T12:09:14
0,0,7200,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-08-10T12:48:28,Clothes Dryer,2015-08-10T14:08:13,43.64124,-79.42285,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,2015-08-10T12:38:14,2015-08-10T12:42:44
0,0,0,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2015-08-10T21:39:33,Undetermined,2015-08-10T21:56:13,43.68815,-79.30183,Improperly Discarded,Subway Station,2015-08-10T21:34:03,2015-08-10T21:39:32
0,0,3000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-04-16T22:00:00,Cutting/Welding Equipment,2014-04-17T22:02:22,43.70663,-79.2738,"Unintentional, cause undetermined",Semi-Detached Dwelling,2014-04-16T21:18:02,2014-04-16T21:23:44
0,0,20000,7,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-04-17T18:23:04,"Stove, Range-top burner",2014-04-17T19:36:17,43.68572,-79.44972,Unattended,Multi-Unit Dwelling - 2 to 6 Units,2014-04-17T18:13:46,2014-04-17T18:18:08
0,0,25000,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Undetermined,2016-09-02T08:28:22,Range Hood,2016-09-02T08:55:04,43.80412,-79.33073,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Restaurant (occupant load less than 30 persons),2016-09-02T07:44:43,2016-09-02T07:52:24
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2016-09-02T15:29:45,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-09-02T15:49:54,43.75251,-79.51649,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2016-09-02T15:12:23,2016-09-02T15:17:18
0,0,50000,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Undetermined,2016-09-02T19:33:02,Undetermined,2016-09-02T20:41:19,43.64759,-79.41017,Electrical Failure,Multi-Unit Dwelling - 7 to 12 Units,2016-09-02T19:17:00,2016-09-02T19:19:57
0,0,30000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2016-09-03T14:49:51,Candle,2016-09-03T15:56:01,43.648,-79.43822,Improper handling of ignition source or ignited material,"TV, radio, motion picture studio",2016-09-03T14:38:37,2016-09-03T14:43:07
0,0,8000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-01-27T14:15:52,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-01-27T14:54:31,43.65213,-79.47179,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2016-01-27T13:53:36,2016-01-27T13:57:35
1,0,2000,0,Undetermined,Not applicable (no system),Undetermined,2016-01-27T18:01:00,Cutting/Welding Equipment,2016-01-27T18:23:53,43.77912,-79.40321,Improperly Discarded,Detached Dwelling,2016-01-27T17:47:56,2016-01-27T17:53:50
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-05-03T09:45:55,"Stove, Range-top burner",2013-05-03T10:20:17,43.7714,-79.24812,Unattended,Detached Dwelling,2013-05-03T09:39:49,2013-05-03T09:45:32
0,0,20000,2,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-06-11T19:19:29,Other Lighting Equipment,2017-06-11T20:39:11,43.66985,-79.30087,Electrical Failure,Detached Dwelling,2017-06-11T19:09:28,2017-06-11T19:14:07
0,0,15000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-04-08T15:36:48,"Cord, Cable for Appliance, Electrical Articles",2017-04-08T17:29:55,43.65878,-79.44075,Electrical Failure,Detached/Semi/Attached with Accessory Apartment Above Grade,2017-04-08T15:27:19,2017-04-08T15:32:03
1,0,500,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-04-09T00:35:01,"Stove, Range-top burner",2017-04-09T02:56:09,43.78357,-79.13125,Unattended,Detached Dwelling,2017-04-09T00:24:41,2017-04-09T00:31:18
0,0,1000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2017-04-09T18:24:17,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2017-04-09T18:57:17,43.66386,-79.43706,Improper handling of ignition source or ignited material,Rooming/Boarding/Lodging House,2017-04-09T18:03:14,2017-04-09T18:06:28
0,0,100,0,Undetermined,Fire alarm system operated,Fire alarm system present,2015-01-21T22:54:00,Cutting/Welding Equipment,2015-01-21T23:11:06,43.64865,-79.38028,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2015-01-21T22:48:59,2015-01-21T22:53:02
0,0,500,4,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-05-06T13:50:00,Clothes Dryer,2013-05-06T14:11:44,43.69182,-79.34194,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached Dwelling,2013-05-06T13:30:52,2013-05-06T13:35:55
0,0,0,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-11-19T03:01:00,Undetermined,2016-11-19T04:28:13,43.69975,-79.60147,"Other unintentional cause, not classified",Waste Transfer Station,2016-11-19T02:45:14,2016-11-19T02:52:07
0,0,4000,1,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2013-05-07T19:25:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2013-05-07T20:29:43,43.70099,-79.39368,Improper Storage,Multi-Unit Dwelling - Over 12 Units,2013-05-07T19:16:43,2013-05-07T19:20:55
0,0,1000,0,Undetermined,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-04-23T17:14:02,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-04-23T17:22:30,43.66589,-79.32692,Improperly Discarded,Semi-Detached Dwelling,2016-04-23T17:08:52,2016-04-23T17:14:01
0,0,5000,5,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-06-05T16:36:00,"Stove, Range-top burner",2016-06-05T17:25:43,43.74698,-79.30744,Unattended,Detached Dwelling,2016-06-05T16:28:33,2016-06-05T16:33:21
0,0,50000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2014-04-22T23:32:45,Other Appliances,2014-04-23T00:38:32,43.78728,-79.47009,Electrical Failure,"Mfg: Drugs, Cosmetics, Pharmaceutical",2014-04-22T23:26:12,2014-04-22T23:32:45
0,0,5000,5,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2014-04-23T20:05:00,Oven,2014-04-23T21:07:57,43.67212,-79.34205,Electrical Failure,Semi-Detached Dwelling,2014-04-23T19:48:32,2014-04-23T19:52:11
0,0,0,0,Undetermined,Fire alarm system operation undetermined,Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-24T08:59:05,Undetermined,2014-04-24T09:17:22,43.69287,-79.28902,Undetermined,Subway Station,2014-04-24T08:52:03,2014-04-24T08:56:14
0,0,1500,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-05-10T08:44:15,Undetermined,2013-05-10T09:51:03,43.7635,-79.49105,"Unintentional, cause undetermined","Restaurants (occupant load greater than 30 persons, licensed)",2013-05-10T08:25:29,2013-05-10T08:29:41
0,0,1000,2,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2013-05-12T04:40:48,Florescent Lamp (includes ballast),2013-05-12T05:25:52,43.71112,-79.24819,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2013-05-12T04:24:41,2013-05-12T04:31:20
0,0,750,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-08-16T11:25:00,"Stove, Range-top burner",2015-08-16T11:53:11,43.67571,-79.43852,Unattended,Detached Dwelling,2015-08-16T11:13:21,2015-08-16T11:17:31
0,0,10000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-25T09:43:29,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2014-04-25T10:23:21,43.7512,-79.3596,Improperly Discarded,Detached Dwelling,2014-04-25T09:32:48,2014-04-25T09:39:34
0,0,30000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-25T11:00:00,"Blow Torch, Bunsen Burner",2014-04-25T12:26:57,43.69073,-79.32034,Other misuse of ignition source/material ignited,Detached Dwelling,2014-04-25T10:33:23,2014-04-25T10:36:50
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Undetermined,2013-05-14T15:23:32,Cutting/Welding Equipment,2013-05-14T16:03:45,43.71695,-79.55598,"Routine maintenance deficiency, eg creosote, lint, grease buildup","Laundry, Dry Cleaner (includes self-service)",2013-05-14T14:54:28,2013-05-14T15:00:57
0,0,75000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-04-25T20:50:00,Candle,2014-04-25T22:18:36,43.65835,-79.43478,Unattended,Multi-Unit Dwelling - 2 to 6 Units,2014-04-25T20:18:56,2014-04-25T20:23:24
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-07-08T02:45:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-07-08T03:33:40,43.70733,-79.39549,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2011-07-08T02:32:54,2011-07-08T02:39:15
0,0,500,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-07-08T23:40:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-07-08T23:49:06,43.65583,-79.40402,Improperly Discarded,Semi-Detached Dwelling,2011-07-08T23:34:58,2011-07-08T23:38:40
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2011-07-09T22:02:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-07-09T22:12:13,43.64599,-79.37913,Improper handling of ignition source or ignited material,Railway Station,2011-07-09T21:54:16,2011-07-09T21:58:38
1,0,40000,18,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2014-04-26T00:13:52,Other Electrical Distribution Item,2014-04-26T02:14:30,43.68079,-79.43011,Undetermined,"Restaurants (occupant load greater than 30 persons, licensed)",2014-04-26T00:01:19,2014-04-26T00:04:59
0,0,20000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2016-06-06T10:18:31,Microwave,2016-06-06T11:13:09,43.72929,-79.51545,Electrical Failure,Semi-Detached Dwelling,2016-06-06T10:10:16,2016-06-06T10:13:03
0,0,5000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2016-06-06T18:18:25,Undetermined,2016-06-06T19:20:50,43.68889,-79.50401,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2016-06-06T18:04:32,2016-06-06T18:09:19
0,0,2500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2013-05-14T17:13:52,Undetermined,2013-05-14T17:39:49,43.72079,-79.52182,Improperly Discarded,"Sto: Warehouse, variety of items, not classified by codes",2013-05-14T17:00:51,2013-05-14T17:07:57
0,0,2500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2015-01-28T14:43:44,Other Electrical,2015-01-28T15:09:14,43.68878,-79.27807,Mechanical Failure,Motor Vehicle Repair Garage,2015-01-28T14:39:37,2015-01-28T14:43:44
0,0,30000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-04-27T01:35:18,"Stove, Range-top burner",2014-04-27T02:18:43,43.6502,-79.36214,Unattended,Multi-Unit Dwelling - Over 12 Units,2014-04-27T01:05:09,2014-04-27T01:10:07
0,0,4000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2012-11-02T19:08:00,Undetermined,2012-11-02T19:35:27,43.75644,-79.36077,Undetermined,Service Station,2012-11-02T18:56:29,2012-11-02T19:01:21
0,0,0,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-04-27T20:14:00,Other Open Flame Tools/Smokers' Articles,2014-04-27T20:35:14,43.75723,-79.49169,Undetermined,Multi-Unit Dwelling - Over 12 Units,2014-04-27T20:03:10,2014-04-27T20:07:57
0,0,100000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-28T04:32:26,Oven,2014-04-28T06:15:41,43.74238,-79.3622,Unattended,Detached Dwelling,2014-04-28T04:22:39,2014-04-28T04:29:21
0,0,10000,5,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-05-16T20:52:44,Undetermined,2013-05-16T21:45:28,43.71873,-79.33496,"Other unintentional cause, not classified","Attached Dwelling (eg. rowhouse, townhouse, etc.)",2013-05-16T20:38:21,2013-05-16T20:43:58
0,0,10000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2013-05-18T03:30:00,Other Electrical Distribution Item,2013-05-18T04:51:20,43.74326,-79.58212,Electrical Failure,Police Station (with detention quarters),2013-05-18T03:18:01,2013-05-18T03:22:40
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-09-06T15:23:59,Static Electricity (spark),2016-09-06T16:21:53,43.75747,-79.54376,"Other unintentional cause, not classified",Recycling Facility,2016-09-06T15:07:19,2016-09-06T15:11:44
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Undetermined,2016-09-06T16:26:07,Cutting/Welding Equipment,2016-09-06T16:58:39,43.5989,-79.49958,Unattended,Ice Rink,2016-09-06T15:55:05,2016-09-06T16:00:27
0,0,100000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-30T07:45:59,Circuit Wiring - Copper,2014-04-30T09:04:50,43.68879,-79.42707,Electrical Failure,Detached Dwelling,2014-04-30T07:34:04,2014-04-30T07:38:36
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-09-06T20:33:29,Deep Fat Fryer,2016-09-06T21:21:10,43.71465,-79.50168,Improper handling of ignition source or ignited material,Detached Dwelling,2016-09-06T20:23:19,2016-09-06T20:29:25
0,0,1000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-02-02T00:48:10,Oven,2016-02-02T01:14:06,43.83111,-79.23467,Improper Storage,Detached Dwelling,2016-02-02T00:33:10,2016-02-02T00:45:48
0,0,0,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-05-18T15:07:00,Undetermined,2013-05-18T15:16:46,43.6686,-79.45877,Children Playing (Ages 11 and under),Multi-Unit Dwelling - Over 12 Units,2013-05-18T14:53:09,2013-05-18T14:59:31
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2011-07-13T12:18:53,Undetermined,2011-07-13T12:57:49,43.69975,-79.60147,Undetermined,Waste Transfer Station,2011-07-13T12:09:46,2011-07-13T12:17:53
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2011-07-14T14:45:05,Undetermined,2011-07-14T15:02:42,43.69008,-79.50353,Undetermined,Detached Dwelling,2011-07-14T14:39:19,2011-07-14T14:45:05
0,0,100,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2011-07-15T11:54:24,Deep Fat Fryer,2011-07-15T12:27:01,43.68065,-79.43074,Unattended,"Restaurants (occupant load greater than 30 persons, licensed)",2011-07-15T11:50:53,2011-07-15T11:54:24
0,0,1000,5,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2011-07-15T21:34:21,"Stove, Range-top burner",2011-07-15T21:51:25,43.7378,-79.56558,Unattended,Detached/Semi/Attached with Accessory Apartment Above Grade,2011-07-15T21:27:02,2011-07-15T21:32:43
0,0,1000,10,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Undetermined,2011-07-15T21:48:00,Other Lighting Equipment,2011-07-15T22:57:46,43.66724,-79.31259,Electrical Failure,Detached Dwelling with Business,2011-07-15T21:40:13,2011-07-15T21:44:41
0,0,5000,1,No one (at risk) evacuated as a result of hearing fire alarm system,Not applicable (no system),No Fire alarm system,2016-06-08T23:47:11,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-06-09T00:26:58,43.68259,-79.32717,Improperly Discarded,"Apartment, Flat, Tenement with Business",2016-06-08T23:09:45,2016-06-08T23:14:10
0,0,20000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2016-06-09T13:41:03,Range Hood,2016-06-09T15:31:52,43.66457,-79.35224,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Restaurant (occupant load less than 30 persons),2016-06-09T13:19:23,2016-06-09T13:23:51
0,0,150000,2,Undetermined,Fire alarm system operation undetermined,Undetermined,2016-11-19T22:37:16,Undetermined,2016-11-20T11:49:10,43.60731,-79.50002,Undetermined,Detached Dwelling,2016-11-19T22:19:28,2016-11-19T22:25:00
0,0,75000,100,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-05-03T15:03:35,Vehicle - Electrical,2014-05-03T16:45:32,43.78054,-79.24703,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2014-05-03T14:50:08,2014-05-03T14:56:20
